shape,size,depth,hardware_type,Energy test,Accuracy test,Loss test
exponential,16777216.0,18.0,cpu1,8624543.0,0.9855,0.10908952
exponential,16777216.0,18.0,gpu1,6494852.5,0.9855,0.10908952
exponential,16777216.0,20.0,cpu1,8319473.5,0.9857857,0.11258691
rectangle,1024.0,10.0,cpu2,527460.75,0.11303571,2.3011382
rectangle,1024.0,10.0,gpu1,2198183.5,0.11303571,2.3011382
rectangle,1024.0,12.0,cpu1,769877.5625,0.111964285,2.3013322
rectangle,1024.0,12.0,gpu1,2215953.0,0.111964285,2.3013322
rectangle,1024.0,14.0,cpu1,772266.875,0.11278571,2.3011796
rectangle,1024.0,16.0,cpu1,804244.125,0.113107145,2.3012261
rectangle,1024.0,16.0,gpu2,2503874.0,0.113107145,2.3012261
rectangle,1024.0,18.0,cpu1,830947.75,0.11178572,2.3012931
rectangle,1024.0,18.0,gpu1,2381648.75,0.11178572,2.3012931
rectangle,1024.0,20.0,cpu1,845699.0625,0.11282143,2.301127
rectangle,1024.0,20.0,gpu1,2421620.75,0.11282143,2.301127
rectangle,2048.0,2.0,cpu1,665628.9375,0.8147143,0.6344046
rectangle,2048.0,2.0,gpu2,2029399.125,0.8147143,0.6344046
rectangle,2048.0,3.0,gpu1,2008073.25,0.80125,0.6754433
rectangle,2048.0,4.0,cpu1,525853.625,0.78114283,0.76921004
rectangle,2048.0,4.0,gpu1,2132669.25,0.78114283,0.76921004
rectangle,2048.0,5.0,cpu1,710259.6875,0.74496424,0.84477824
rectangle,2048.0,5.0,gpu1,2149670.5,0.74496424,0.84477824
rectangle,2048.0,6.0,cpu1,598502.5,0.63767856,1.0909083
rectangle,2048.0,6.0,gpu1,2107848.0,0.63767856,1.0909083
rectangle,2048.0,7.0,cpu1,645270.125,0.56214285,1.3186778
rectangle,2048.0,7.0,gpu2,2211107.5,0.56214285,1.3186778
rectangle,2048.0,9.0,cpu2,669259.1875,0.113678575,2.3011715
rectangle,2048.0,9.0,gpu2,2360310.75,0.113678575,2.3011715
rectangle,2048.0,10.0,cpu2,686845.375,0.11328571,2.3013134
rectangle,2048.0,12.0,cpu1,961093.9375,0.11303571,2.3012402
