Model,Pretrained,Accuracy train,Accuracy val,Accuracy test,Loss train,Loss val,Loss test,Energy train,Energy test
MobileNet V2,False,0.929,0.3702,0.3325,0.2880737346728643,3.194959436798096,3.409949994659424,494055.82140711654,1063.70454854376
EfficientNet B0,False,0.8517333333333333,0.4152,0.386,0.5145840710639954,3.0713077140808105,3.32144454498291,582970.1352996432,1311.70499559504
ShuffleNet V2,False,0.5254666666666666,0.2841,0.2614,1.7356917193730672,3.0451646423339844,3.219681400680542,140450.43914923753,357.49800992059386
SqueezeNet V1,False,0.6647000000000001,0.43695,0.3946,1.1762510981559753,2.457547346496582,2.7001662353515625,896985.1936350116,997.03837135332
ResNet18,True,0.9999666666666668,0.6976,0.6627000000000001,0.0018825145247081,1.2240835731506348,1.3922771263122558,239821.61841344516,783.91126647936
MobileNet V2,True,0.9990333333333332,0.72465,0.65,0.0101705826501051,1.2393241691589356,1.6427821508407592,356394.3425367134,1080.9075200454001
EfficientNet B0,True,0.9905,0.8181,0.7971,0.0344785208990176,0.8102866176605225,0.9157340521097184,450055.4550354198,1303.61380791732
ShuffleNet V2,True,0.8754333333333334,0.61155,0.5713,0.4383849761327107,1.4793873825073245,1.6647752422332764,115266.16791639107,351.0033879535409
SqueezeNet V1,True,0.9004666666666667,0.64365,0.5870000000000001,0.3135345374743143,1.6309902551651,1.9203966724395751,351539.1296669034,1010.38811314752
SqueezeNet V1,False,0.6478,0.45165,0.4159,1.2399661252975465,2.3236915723800657,2.518534367752076,810763.1617894132,1010.8430439267601
ResNet18,True,0.8691333333333334,0.654,0.599,0.4474110027790069,1.3506923477172852,1.6112185466766358,231715.80778439736,785.89816779672
MobileNet V2,True,0.9979333333333332,0.72655,0.6573,0.0145744411478439,1.2146366317749024,1.5792188606262207,343460.0067068779,1078.40984514444
EfficientNet B0,True,0.9902666666666669,0.8187000000000001,0.7935,0.0360750147640705,0.7921635879039765,0.9244061064720154,449687.61188917165,1307.49097269816
ShuffleNet V2,True,0.8692000000000001,0.6101500000000001,0.5750000000000001,0.4520538054148356,1.4873069978713989,1.649574631881714,112722.4485423162,364.16387480004
SqueezeNet V1,True,0.8977,0.645,0.5985,0.3191878043651581,1.613753206729889,1.8243995502471924,351076.19880082604,996.9407719117199
